lam,encolhimento,RMSE,log_loss
4,0.0,14.010115695129196,0.6534762192027661
4,0.3,13.878706670686656,0.646564244652224
4,0.5,13.839277861662861,0.6442330971740546
4,0.7,13.83882212545721,0.6436730574616523
4,0.9,13.877343301733184,0.6448366016009647
8,0.0,14.023524121117665,0.6551006097665946
8,0.3,13.862716245256667,0.6470072816030211
8,0.5,13.803213706682538,0.6439056876895767
8,0.7,13.782496226217724,0.6425975111586072
8,0.9,13.80073847576913,0.6430433279775861
12,0.0,14.103714745340774,0.6593122325012468
12,0.3,13.933073325024594,0.6508299470940417
12,0.5,13.86160990621347,0.6472478725854988
12,0.7,13.824632974491855,0.645291780512742
12,0.9,13.82241930136068,0.6449312888609954
20,0.0,14.255817074724536,0.6669609160773993
20,0.3,14.087675332270807,0.6586303030268722
20,0.5,14.006866938124293,0.6546570275499372
20,0.7,13.951614468392725,0.6519291579586844
20,0.9,13.922222194194026,0.6504289379710638
30,0.0,14.392816015750386,0.6738055184837715
30,0.3,14.239242507420157,0.6661652606247364
30,0.5,14.158613982471339,0.6621998875431553
30,0.7,14.095746326276998,0.6591265676485283
30,0.9,14.05087794251579,0.6569355980596682
50,0.0,14.556069099459,0.6820064805263076
50,0.3,14.431656397917571,0.6757609287820067
50,0.5,14.360625731994856,0.6722344943219484
50,0.7,14.299292422744905,0.6692138614005818
50,0.9,14.247781705155592,0.6666953579313248
