time,conf,divisao,v,d,e,vitorias_medias,v_p10,v_p90,playoffs_%,divisao_%,cabeca1_%,seed1_%,seed2_%,seed3_%,seed4_%,seed5_%,seed6_%,seed7_%
BUF,AFC,AFC East,2,0,0,11.1807,9.0,14.0,91.41,59.69,30.06,30.06,15.129999999999999,9.22,5.28,19.18,7.7700000000000005,4.77
KC,AFC,AFC West,2,0,0,10.3951,8.0,13.0,85.37,68.24,16.02,16.02,18.07,17.810000000000002,16.34,5.64,5.93,5.56
NE,AFC,AFC East,1,1,0,10.4195,8.0,13.0,84.96000000000001,39.0,17.22,17.22,10.92,6.76,4.1000000000000005,25.8,12.44,7.720000000000001
JAX,AFC,AFC South,1,1,0,10.3693,8.0,13.0,83.59,70.0,13.98,13.98,17.41,18.64,19.97,3.56,5.26,4.77
CIN,AFC,AFC North,2,0,0,9.8344,7.0,12.0,71.67,43.55,9.55,9.55,12.53,11.66,9.81,8.05,10.51,9.56
BAL,AFC,AFC North,1,1,0,9.4458,7.0,12.0,66.28,35.370000000000005,5.88,5.88,9.49,10.66,9.34,8.649999999999999,11.42,10.84
DEN,AFC,AFC West,1,1,0,8.5532,6.0,11.0,48.3,19.900000000000002,2.65,2.65,4.54,6.12,6.59,8.4,10.11,9.89
HOU,AFC,AFC South,0,2,0,8.2559,6.0,11.0,40.68,18.990000000000002,1.11,1.11,3.29,5.7299999999999995,8.86,4.390000000000001,7.739999999999999,9.56
PIT,AFC,AFC North,1,1,0,8.2003,6.0,11.0,38.62,15.559999999999999,1.68,1.68,3.58,4.81,5.489999999999999,5.0,8.34,9.719999999999999
LV,AFC,AFC West,2,0,0,7.7201,5.0,10.0,30.5,11.26,0.9199999999999999,0.9199999999999999,2.12,3.54,4.68,4.33,6.49,8.42
IND,AFC,AFC South,0,2,0,7.5512,5.0,10.0,25.669999999999998,10.33,0.44,0.44,1.53,2.78,5.58,2.83,5.3,7.21
CLE,AFC,AFC North,1,1,0,7.0983,5.0,10.0,18.82,5.52,0.31,0.31,1.03,1.6400000000000001,2.54,2.25,4.68,6.370000000000001
NYJ,AFC,AFC East,1,1,0,6.1223,4.0,8.0,8.35,1.04,0.13999999999999999,0.13999999999999999,0.27,0.26,0.37,1.44,2.5100000000000002,3.36
LAC,AFC,AFC West,0,2,0,4.8324,3.0,7.0,2.2800000000000002,0.6,0.0,0.0,0.03,0.16999999999999998,0.4,0.18,0.66,0.84
MIA,AFC,AFC East,0,2,0,4.732,2.900000000000091,7.0,1.81,0.27,0.04,0.04,0.03,0.06999999999999999,0.13,0.2,0.48,0.86
TEN,AFC,AFC South,0,2,0,4.5991,2.0,7.0,1.69,0.6799999999999999,0.0,0.0,0.03,0.13,0.52,0.1,0.36,0.5499999999999999
SEA,NFC,NFC West,2,0,0,12.2389,10.0,14.0,94.67,54.64,40.99,40.99,11.0,2.29,0.36,25.290000000000003,10.05,4.6899999999999995
SF,NFC,NFC West,2,0,0,11.641,9.0,14.0,91.23,36.26,26.57,26.57,7.64,1.73,0.32,32.95,14.23,7.79
MIN,NFC,NFC North,2,0,0,10.818,8.0,13.0,82.06,55.379999999999995,13.51,13.51,29.080000000000002,9.77,3.02,5.81,11.25,9.62
LA,NFC,NFC West,1,1,0,9.7737,7.0,12.0,62.67,8.870000000000001,5.390000000000001,5.390000000000001,2.71,0.61,0.16,16.78,21.36,15.659999999999998
PHI,NFC,NFC East,2,0,0,9.1277,7.0,12.0,60.529999999999994,54.169999999999995,3.1399999999999997,3.1399999999999997,8.38,22.71,19.939999999999998,0.8699999999999999,1.9900000000000002,3.5000000000000004
CHI,NFC,NFC North,1,1,0,9.4057,7.0,12.0,54.620000000000005,20.53,3.6999999999999997,3.6999999999999997,11.17,4.42,1.24,6.79,12.790000000000001,14.510000000000002
NO,NFC,NFC South,1,1,0,8.6922,6.0,11.0,52.87,47.49,1.52,1.52,6.79,16.650000000000002,22.53,0.47000000000000003,1.51,3.4000000000000004
DET,NFC,NFC North,1,1,0,9.133,7.0,11.0,48.04,17.77,2.5,2.5,9.65,4.17,1.4500000000000002,5.79,10.81,13.669999999999998
CAR,NFC,NFC South,1,1,0,8.1839,6.0,11.0,42.64,36.67,0.8200000000000001,0.8200000000000001,4.21,12.9,18.740000000000002,0.6,1.9,3.47
DAL,NFC,NFC East,1,1,0,7.7502,5.0,10.0,29.520000000000003,22.48,0.7100000000000001,0.7100000000000001,2.55,9.04,10.18,0.59,2.2800000000000002,4.17
NYG,NFC,NFC East,1,1,0,7.4993,5.0,10.0,25.180000000000003,19.7,0.4,0.4,2.26,7.53,9.51,0.5,1.53,3.45
GB,NFC,NFC North,1,1,0,7.8987,6.0,10.0,23.49,6.32,0.59,0.59,3.2300000000000004,1.76,0.74,2.45,6.0600000000000005,8.66
TB,NFC,NFC South,0,2,0,6.645,4.0,9.0,16.36,13.120000000000001,0.06999999999999999,0.06999999999999999,0.96,4.569999999999999,7.5200000000000005,0.12,1.02,2.1
ARI,NFC,NFC West,1,1,0,6.5897,4.0,9.0,7.340000000000001,0.22999999999999998,0.06999999999999999,0.06999999999999999,0.11,0.04,0.01,0.9299999999999999,2.42,3.7600000000000002
WAS,NFC,NFC East,0,2,0,5.7823,3.0,8.0,5.17,3.65,0.02,0.02,0.18,1.2,2.25,0.06,0.53,0.9299999999999999
ATL,NFC,NFC South,0,2,0,5.0195,3.0,7.0,3.61,2.7199999999999998,0.0,0.0,0.08,0.61,2.03,0.0,0.27,0.62
