temporada,conf,conjunto,ordem
2002,AFC,True,
2002,NFC,True,
2003,AFC,True,
2003,NFC,True,
2004,AFC,True,
2004,NFC,True,
2005,AFC,True,
2005,NFC,True,
2006,AFC,True,
2006,NFC,True,
2007,AFC,True,
2007,NFC,True,
2008,AFC,True,
2008,NFC,True,
2009,AFC,True,
2009,NFC,True,
2010,AFC,True,
2010,NFC,True,
2011,AFC,True,
2011,NFC,True,
2012,AFC,True,
2012,NFC,True,
2013,AFC,True,
2013,NFC,True,
2014,AFC,True,
2014,NFC,True,
2015,AFC,True,
2015,NFC,True,
2016,AFC,True,
2016,NFC,True,
2017,AFC,True,
2017,NFC,True,
2018,AFC,True,
2018,NFC,True,
2019,AFC,True,
2019,NFC,True,
2020,AFC,True,True
2020,NFC,True,True
2021,AFC,True,True
2021,NFC,True,True
2022,AFC,True,True
2022,NFC,True,True
2023,AFC,True,True
2023,NFC,True,True
2024,AFC,True,True
2024,NFC,True,True
2025,AFC,True,True
2025,NFC,True,True
